Year,January,February,March,April,May,June,July,August,September,October,November,December
1929,1361.7001,1361.8435,1361.6354,1361.6832,1361.7211,1361.7275,1361.8448,1361.9867,1361.9528,1361.3795,1361.1398,1361.1484
1930,1361.9747,1361.9122,1361.5493,1361.4604,1361.4884,1361.5588,1361.5498,1361.4492,1361.5015,1361.352,1361.4393,1361.5966
1931,1361.4769,1361.297,1361.4279,1361.5295,1361.4846,1361.4097,1361.4142,1361.374,1361.3949,1361.348,1361.3054,1361.3511
1932,1361.3597,1361.3224,1361.3215,1361.2484,1361.2594,1361.3258,1361.3862,1361.3005,1361.2557,1361.2592,1361.2976,1361.2406
1933,1361.3029,1361.1592,1361.3379,1361.2823,1361.2194,1361.2208,1361.2325,1361.2115,1361.2197,1361.2117,1361.2236,1361.204
1934,1361.2147,1361.2764,1361.288,1361.2106,1361.2959,1361.3297,1361.3091,1361.284,1361.2815,1361.2999,1361.3007,1361.3716
1935,1361.3689,1361.4528,1361.5022,1361.4672,1361.4498,1361.5055,1361.6178,1361.6604,1361.6958,1361.6924,1361.4869,1361.5392
1936,1361.5604,1361.8718,1361.9874,1362.0304,1362.055,1361.9702,1361.9808,1362.0924,1362.2705,1362.2734,1362.085,1362.438
1937,1362.2781,1362.4003,1362.5068,1361.9177,1362.0651,1362.0026,1361.9668,1362.5049,1362.5421,1361.8901,1362.358,1362.0724
1938,1361.7216,1362.2441,1362.2229,1361.9482,1362.1482,1362.4207,1362.0298,1362.7466,1362.2311,1361.9177,1361.7748,1362.0228
1939,1362.148,1362.1438,1362.14,1361.8247,1362.3242,1362.5869,1362.0033,1361.7255,1361.4187,1361.8701,1361.8829,1361.8646
1940,1361.4419,1361.645,1361.7417,1362.1221,1361.948,1361.8423,1362.0586,1361.7765,1362.1078,1361.778,1361.8615,1361.8274
1941,1361.8898,1361.7655,1361.7325,1361.6956,1361.729,1361.64,1361.7701,1361.8809,1361.6176,1361.6304,1361.6536,1361.6709
1942,1361.6547,1361.4701,1361.5841,1361.628,1361.7296,1361.514,1361.3557,1361.3837,1361.4764,1361.4357,1361.3792,1361.5371
